feature	importance.x	Frequency.x	importance.y	Frequency.y	comparison	drug
ENSG00000131773_gex	0.6678414271359768	2	0.02924982794218858	1	CCLE	ERLOTINIB
ENSG00000171435_gex	0.6662451058521881	2	0.015376233080981879	2	CCLE	ERLOTINIB
ENSG00000137656_gex	0.6645992862340182	2	0.2780454232622161	1	CCLE	ERLOTINIB
ENSG00000106571_cnv	0.66284457028021	2	0.23193392980041294	1	CCLE	ERLOTINIB
ENSG00000167186_gex	0.6606369445668154	2	0.29903647625602203	1	CCLE	ERLOTINIB
ENSG00000198298_gex	0.6601493859731621	2	0.2770130763936683	1	CCLE	ERLOTINIB
ENSG00000179195_gex	0.6596445029624753	2	0.28458362009635235	1	CCLE	ERLOTINIB
ENSG00000069248_cnv	0.6569913922396512	2	0.25774260151410877	1	CCLE	ERLOTINIB
ENSG00000166428_gex	0.6568230979027556	2	0.28251892635925674	1	CCLE	ERLOTINIB
ENSG00000163900_gex	0.6555163418750959	2	0.2856159669649002	1	CCLE	ERLOTINIB
ENSG00000165280_gex	0.6551723284511476	2	0.13119408121128698	2	CCLE	ERLOTINIB
ENSG00000102796_cnv	0.6536205556683018	2	0.24294562973158979	1	CCLE	ERLOTINIB
ENSG00000143321_gex	0.6535933315843921	2	0.6439206239963295	2	CCLE	ERLOTINIB
ENSG00000167881_gex	0.6533631643295204	2	0.06825533379215416	2	CCLE	ERLOTINIB
ENSG00000177272_cnv	0.6523038999737659	2	0.13764624913971096	1	CCLE	ERLOTINIB
ENSG00000204618_gex	0.6414860389947878	2	0.3427334250974995	2	CCLE	ERLOTINIB
ENSG00000158864_cnv	0.6405826943923337	2	0.531257169075476	2	CCLE	ERLOTINIB
ENSG00000160310_gex	0.6388106540214923	2	0.0017205781142463868	1	CCLE	ERLOTINIB
ENSG00000185507_gex	0.6379568077534191	2	0.32484514796971786	1	CCLE	ERLOTINIB
ENSG00000170128_cnv	0.637857811084657	2	0.1534755677907777	1	CCLE	ERLOTINIB
ENSG00000003056_cnv	0.6372638310720845	2	0.26668960770818995	1	CCLE	ERLOTINIB
ENSG00000180549_gex	0.6363580115529113	2	0.30178940123881626	1	CCLE	ERLOTINIB
ENSG00000102858_gex	0.6352764729466853	2	0.2668387244780913	2	CCLE	ERLOTINIB
ENSG00000175826_cnv	0.6323387468011702	2	0.1403991741225052	1	CCLE	ERLOTINIB
ENSG00000176798_gex	0.6289456359793494	2	0.012388162422573986	1	CCLE	ERLOTINIB
ENSG00000100324_gex	0.6287624921421394	2	0.6061768754301445	2	CCLE	ERLOTINIB
ENSG00000163348_gex	0.6286016225554011	2	0.3310392291810048	1	CCLE	ERLOTINIB
ENSG00000136603_cnv	0.626002960000396	2	0.1659440238586832	2	CCLE	ERLOTINIB
ENSG00000160679_gex	0.6258990134981959	2	1	3	CCLE	ERLOTINIB
ENSG00000214050_gex	0.6258742643310052	2	0.03165863730213352	1	CCLE	ERLOTINIB
ENSG00000105483_gex	0.6257579432452098	2	0.5568020188116541	2	CCLE	ERLOTINIB
ENSG00000104290_gex	0.6254510535720473	2	0.06714842853865567	2	CCLE	ERLOTINIB
ENSG00000088538_cnv	0.6249238963108892	2	0.25086028905712315	1	CCLE	ERLOTINIB
ENSG00000142182_gex	0.6245724581367836	2	0.08789860059646708	2	CCLE	ERLOTINIB
