feature	A-674563	Abt-737	Afatinib	Alisertib	Alvocidib	AT-7519	Axitinib	Azd-1480	Barasertib	Bay 11-7085	BMS-345541 free base	Bortezomib	Bosutinib	Cabozantinib	Canertinib	Cediranib	Chir-99021	CI-1040	Crenolanib	Crizotinib	Dactolisib	Dasatinib	DBZ	Doramapimod	Dovitinib	Elesclomol	Erlotinib	Foretinib	GDC-0879	Gefitinib	GSK-1838705A	GSK-1904529A	Gsk-690693	GW-2580	Ibrutinib	Idelalisib	Imatinib	JNJ-28312141 free base	JNJ-7706621	JNJ38877605	JQ1 compound	KI20227	KU-55933	KW-2449	Lapatinib	Lenvatinib	Linifanib	Masitinib	Met Kinase Inhibitor	MGCD-265 analog	Midostaurin	MK-2206	MLN120B	MLN8054	Momelotinib	Motesanib	Neflamapimod	Neratinib	NF-kB Activation Inhibitor	Nilotinib	Nintedanib	NSC 74859	Nutlin-3	NVP-ADW742	Nvp-tae 684	Pazopanib	PD173955	Pelitinib	Pha-665752	PHT-427	PI-103	Pictilisib	Ponatinib	PP242	PRT062607	Pyridone 6	Quizartinib	Raf265(chir-265)	Regorafenib	Ruboxistaurin	Ruxolitinib	Sapanisertib	Saracatinib	SB-431542	Seliciclib	Selumetinib	Sepantronium bromide	Sgx-523	Sirolimus	SNS-032	Sorafenib	STO609	Sunitinib	Tanespimycin	TG-100-115	Tivozanib	Tofacitinib	Tozasertib	Trametinib	Vandetanib	Vatalanib	Vemurafenib	Venetoclax	Vismodegib	Volasertib	XAV-939
ARID4A_mut.panel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARID5B_mut.panel	3.30740562550197	4.10211430022868	0	11.7759464868857	3.1225908490897	0	0	1.58193361825912	0	1.33629450285497	0.278224227729306	1.52514839346585	0.550792641618796	0	0	0	0.801083387330656	0.695326668468047	2.54971005511484	0	0	0	0	0	0	0	0.678448668306106	0	0	0	0	0	0	3.00243883574969	0.61602603876422	0.18740804667915	18.5802523456328	1.55205740681213	20.4991283734499	0.0232032327668353	0	0	0.490876155735538	0	1.33211308831526	2.00376599416601	4.27495595129437	0	0	0.0430859249458477	8.27637883419224	0	0	9.20928060435945	0	0	0.733590961901083	0.0509622278203683	0	0	0	0	0	0.103709606339868	0	0	12.1799883710323	0	2.65661565956533	0	2.4170196175789	4.43521851281287	5.10169016577112	0	1.17675663584652	0	2.85853010017704	0	0	0	0.52544115191963	4.29905572364359	0	5.70780627756129	2.59988949203989	0	0	0	2.57265117595139	0	0.128868243573411	0.809151224087968	0	0	0	0	0.754727248661217	2.15702238459089	0	4.67834193711605	11.9365754159549	0.121986468466789	0.0705045481140818	0.0490430283346566	0.235477396357628	0
ASXL1_mut.panel	0.53438863132828	0.00275164989037399	6.90782904853746	9.89611544351095	1.83487806881714	1.87225595968499	8.71287216572351	4.86008918141248	30.9971222314541	4.24479867615021	1.21060074337103	1.30105584138411	17.4169701179185	32.562430639068	3.60044112780843	4.12086544034972	5.88643811660035	1.54664722463228	2.97571567237248	11.3475521555068	0.322130974985522	5.16423619902892	30.5231671086387	0.684443580811026	1.4240688322714	0.962332252007998	7.42911484423359	27.1277761150132	0.0317679010574689	13.6539311331039	0.357171569169476	8.82407478258244	15.6398552285636	5.13896976316449	24.4924546739617	13.8419715271163	8.89362447312561	5.95286324050822	1.12609969974919	5.16649667147605	7.10491234630714	2.4356107052638	7.44486416089941	11.6758800957236	5.0224915993943	2.45027966899439	9.36400513627934	33.0160276048708	5.97211880086024	8.25989085583071	12.4572048102353	0.81294068980323	0.751517772810379	20.8297419803773	0.465234527592829	0.550801338645121	2.22142310071889	1.52888894113699	0.729488254262205	1.88381578518056	31.4329122077969	2.17355479972002	6.19264515886418	0.834338200997086	30.4673971889211	23.9583805131717	16.0395778335086	0.46062001347017	15.6003886373304	7.9812723172987	6.48561488482636	20.9684211438169	0.0634563986617367	10.7305110337057	43.0777550205812	0.0261699391340493	25.1178891262013	2.51226064188601	18.4981079391535	18.8944435345621	1.34500496829659	6.30679458480107	8.18549088870335	7.42391535014551	0.565014740836119	0.126076940554505	3.79458687152481	10.9598960383928	0.452901540916547	3.34604528944196	7.14097964229005	0.0520326766647859	8.94810033158874	1.58451412633767	1.57491855843486	18.4535981250195	10.5805088711242	6.98952784574609	0.0286753294680494	8.70417678338199	7.74284409578371	1.96851638894968	4.59562670645902	0.927732946490156	0.76113262473719	1.09724374054167
ASXL2_mut.panel	1.78174283497548	0.0716043684576651	0.0951667582353089	1.69294570186175	0.394816399322333	0	1.55802430303032	0.0744408978105831	3.69816087411116	0	0	0.336454780834391	6.3574008111338	0	0.649817764974351	1.86268785675729	0.716230124068026	0	0	0	0.235968582631542	0	0	4.94494850673998	13.2230826614762	0.471759412187931	4.49692786347547	1.30433992627149	0.554378963580744	0	0.778013288433118	0	0	0	0	0	0.128438802235734	0	0.363995064738632	0.0301385208939165	0	0	0	0.424396836311305	0	0	2.36482970711715	5.55102123691435	0.00145123358550841	13.3459686550242	10.1279291013341	0	0.887201210609972	0.0243963775975934	12.489208637345	0	10.347352249066	6.40432568362898	1.40230860404987	1.31128902552226	14.8792613317696	2.7842507108554	0	0.839072714504454	0	3.10293883649001	0.0545699635082481	0	1.09750862527332	0	0.496706573645826	0	0.896606194100153	0	1.33967317997892	9.23535546394216	0.514783085913918	0	0	0.911180954416899	1.75335162071156	0.543019693514054	4.93936155986224	6.08688843294518	0.00293750771116011	0	2.88500013780789	1.79724317783055	0.146543171784052	0	0	7.78650022130357	0	0	2.004265305328	0	0.580391734400626	0	0.168355279749681	0	0	0	0	0	0	2.81285275610248
ATM_mut.panel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATRX_mut.panel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AURKB_mut.panel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adipocytes_gex	15.5185038041092	34.6502554961711	21.6580765016659	27.2806525808422	25.8684541844071	22.8477993368831	10.9648760517211	29.9893245213012	7.00414377470363	12.6226175080388	19.7845477836384	13.127846228769	69.7567135671099	9.55255144244438	11.1053632500157	49.9078730036692	27.2882984954883	23.0704235737357	7.9114031400245	31.6797309875004	16.2232088312279	18.283076077406	23.4086999742148	44.6700904282478	34.0024547375006	8.70443647726636	30.9636622030184	33.5580701364143	8.42287885296802	10.7077876410264	33.8939931232559	8.76448089756164	47.9793357708328	13.6681296329412	91.6629258061227	9.2056502277302	35.5651322181463	36.4841740458895	30.2517345577652	44.6251854748559	36.8131250919591	19.303983099674	31.7195923693758	14.8576450197102	36.4055160843476	17.6312801893689	33.4626448772969	21.1628401120338	14.8896756988216	49.1146984019265	14.3519138763756	42.002825665876	15.1080420380517	60.4922466347315	43.4585699592302	49.3060107612	8.67372752435073	39.8441122707876	46.7417629419556	30.7309771168518	24.8548461641276	24.7617310967056	55.3482393245716	8.22606521047055	25.3666048357325	41.7802585181425	58.6243028927503	54.0038612101581	31.34954903973	45.3742341104812	9.8621157377694	5.07127355870376	12.1249797662564	53.2284947623015	11.1240058656281	20.2466045561131	36.1096462691761	52.7806212631005	31.9686625563843	45.9628742782445	18.717509123113	9.89997274802102	19.8734827033584	34.6015391207247	23.9145489891951	21.7870264052417	10.0573988875601	34.7986607565249	13.586224900867	21.3729067087805	4.43066043034954	32.3488102693322	17.1535968440197	19.3861234228554	25.7225487675355	14.9581893619119	55.0323012710583	14.7168513661264	17.7600323982207	22.6107995776524	22.1882046798123	57.6583054025936	9.02401651563864	5.67802821470787	38.6673921087617	42.8567440647534
Astrocytes_gex	34.6244744866348	30.4816612326948	30.4133813749148	26.8596995076299	22.5606614268999	30.2796389638973	28.8423151130672	73.4031181921976	46.4472642227719	25.7064771951206	15.5452357815197	9.69248872325119	55.728701905826	28.0758414856451	29.9348380161157	32.1372711833582	10.8600346904727	47.8750752732542	23.0012521917655	48.4959784847051	14.8353466753733	56.5296191567376	24.8695255425773	23.7479473388842	15.1890360037501	3.65738478023468	15.5253168231323	64.5097378893191	26.3014370262004	41.1533434142484	34.4236172743834	48.6699304281479	36.670559608865	52.4216331332611	67.5426925328315	100	100	100	89.650961436441	43.6788363129067	51.6695024295008	56.272541747604	55.3788261613908	16.2960880988269	67.4618917647466	34.3534230617136	25.8549548451533	64.1641851095115	38.2111380946046	61.0674990270486	43.722385179616	5.51299609624903	79.0869879883915	22.1313170088369	51.5190275119927	56.4493091551418	100	51.4936786349493	33.7850167895807	18.5582643323939	39.3460707364478	34.7811719794006	15.74631458866	19.2886498979838	41.3839727052363	100	51.0874726095938	40.1589007086695	21.4207763787325	40.4963801416372	35.6866541138639	39.3656933304096	65.0885269760903	61.1920404317334	79.5475371699411	50.4970839850955	20.1084168794395	9.27509473403283	45.9635144957133	54.3354579050052	100	31.7774358697624	56.0539957727247	70.6085643989688	54.1015633713773	20.3916640079807	26.7998885225121	18.3210042821307	24.2311002622373	30.5286312834559	27.5052109064768	9.97038860337947	60.2658233654963	30.7829038955123	5.84762058620978	65.5389254621174	19.5661531118498	47.7064401380492	19.4562559059273	13.6840192696514	81.2092497573819	43.4737416751294	14.4583466662989	7.83720210165778	41.2357375745334	33.1097718908262
BCL10_mut.panel	0.088891077260199	1.19046934696144	0.0898179412060812	0.0243531456940171	5.30617194980409	1.06497750562609	0	3.74393190439689	0	1.4842853380555	0.0111108476421613	14.1753094414599	0.00258225715969825	0	0.336032226972573	2.28160276269065	0	2.29541721111686	1.27892656192926	0.0368137689257858	0.831535180278648	0.0707665403502869	0	0	7.63936818147431	1.50801883093387	0	0	0	0	0	0	0	5.5581425750841	0.146424357591095	5.19416355343987	4.7492542870466	0	0	0.0572125620470546	2.2283323625477	0	0.171897961578934	0	0	2.28975880944078	1.97153554544642	0	0.00204787875649399	0	0.388651893931466	5.73572209845322	0	0	0	0	0	0	0	0	0	0.806164853537221	2.08443495359088	0	0	0	0	1.94560036376129	0	0	0.409777729841202	3.73504920982115	0	21.1737179539749	2.07674312424433	0.0763313613254151	1.24121439261343	0	0	0	0.711718107563724	0.372102897420623	0	2.01650331263133	2.56901212376821	2.47500530475506	0	0	0	0	0	0	0	0	0	0	0	4.47317637455786	0.500353099828351	0.465671303482525	0.444428713360297	0	0	0	0.759875432483271	0
