feature	bgj398	binimetinib	bkm120	byl719-ljm716	byl719	cgm097	clr457	hdm201	lee011	ljm716	lka136	llm871
ENSG00000012048_mut.panel	7.92706960778797	3.24796475368593	0.663002297133518	7.77266894302851	9.32348495310978	1.51021528230949	0.00341923032230011	3.52698082339119	1.99608979788783	0.801315717775423	6.71354452726881	1.33834796794956
ENSG00000012124_cnv.panel	0.521344946920333	0.908080549917811	4.37305466476175	0.013687428575011	1.24282748840216	12.4989273415506	25.1637595510776	9.07005954279958	2.51902779402559	0.371926924200637	48.2512473355208	0.984882035977609
ENSG00000012124_mut.panel	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000015285_cnv.panel	0.460730208840757	0.0720006875975731	14.5327561573505	2.06807890937746	12.8746507919819	6.89634678156782	5.83779292759074	0.911231740564165	2.78255156197675	1.27543859593555	11.8070845864349	4.55873144652612
ENSG00000015285_mut.panel	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000017427_cnv.panel	1.66729250691796	0	0	0.809163411071582	0.665792743754715	3.64406403806086	0	1.01801630470978	1.26721128861436	0	6.30190320287134	1.75585255915018
ENSG00000017427_mut.panel	0	0.550827236095352	3.73678562584687e-05	0	0	0.740594599786795	1.53364867850352	0	0.659253781436001	0	0	0
ENSG00000018408_cnv.panel	1.66729250691796	0.317198234053333	0.359955722034006	3.37466622257787	2.6898896107366	1.83661768933279	1.27068159792082	0.207428178894986	0.326694022674498	0	8.97824029658943	1.75585255915018
ENSG00000018408_mut.panel	0	1.09372097084914	0.410662993368489	1.32841821027222	1.87111878065686	4.52050094869401	1.4669853552701	7.89018843518225	1.01686045429299	0	2.44117816813286	0
ENSG00000019582_cnv.panel	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000019582_mut.panel	0	0.50733422194526	1.70196178258948	0.415635898724544	1.71402242613208	1.85998273970679	1.1954571915311	5.78645741965457	0	0	6.2354889015561	0
ENSG00000019991_cnv.panel	18.5295034292442	3.74179762032917	0.6999536345311	0.857309001373628	0	33.8950833978349	34.3930735654479	0	9.07239990417259	0.932672641577608	9.1833273910595	0.0205187075374127
ENSG00000019991_mut.panel	0	0.317198234053333	0.480146289617597	0.604759195868161	0.874059955543849	0	0.737545842321384	0.0507804707075688	1.9510046975225	0	0	0
ENSG00000020181_cnv.panel	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000020922_cnv.panel	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000021826_cnv.panel	1.66729250691796	0	0	0.757117776647563	0	0	0	0.0939315447631808	1.26721128861436	0	6.30190320287134	1.75585255915018
ENSG00000021826_mut.panel	0	0.0260169460515339	1.12064087190063	0.0798010348086179	2.60413298116976	0.919405569053783	3.13998566463475	10.1338001181023	3.44912440543637	0	0.0217632356544775	0
ENSG00000023445_cnv.panel	0	1.78087100491044	1.21699069981674	0	0	0	0.103144271235163	0	1.08338703893048	0	0	0
ENSG00000023445_mut.panel	0	1.6219918657391	0.626300392952872	1.33049475475337	0.239292366296236	3.02012851127495	0.0929732010664497	3.96427409233111	1.34756906837593	0	3.12649448288215	0
ENSG00000026103_cnv.panel	0	22.1568228358571	3.87929645117103	0	0	8.15294761449858	0.419278242607094	0	6.31256942479722	0	0	0
ENSG00000026103_mut.panel	0	0.095991855574232	2.97887672555985	0.027160391731472	6.55322708383528	4.37711992405032	7.44028444348909	2.68205960679633	0.638908040024667	0	6.06004496794258	0
ENSG00000027697_cnv.panel	1.66729250691796	6.68287093745516	0.0789558506760285	0.757117776647563	0	3.76217612054968	0	0.0939315447631808	1.26721128861436	0	6.30190320287134	1.75585255915018
ENSG00000027697_mut.panel	0	3.14494014569441	1.29850450788846	4.08222017346169	0.321438336085675	1.78769653469224	0.923266305218467	0.718588855686258	0.71806853760732	0	0.0654287500275466	0
ENSG00000029725_cnv.panel	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000029725_mut.panel	1.06994812969834	12.0181320304264	35.5134388665001	23.5488219831134	0	0.399458763004612	4.46187745738151	1.7659487826017	6.10612124937803	0	0	0.614214886863386
